"gene","id","logFC","padj","Enriched"
"Plek2",10401149,1.52874328372448,0.00090006891284575,"cDC1_LPS"
"Mctp1",10406334,-1.55740266096286,0.000949388595426203,"cDC1_ctrl"
"Nr1h3",10484987,1.04004100698605,0.000950131346043876,"cDC1_LPS"
"Dmpk",10550574,-1.10295263102663,0.000950131346043876,"cDC1_ctrl"
"Impa2",10456383,-1.27040750896771,0.000976883054591218,"cDC1_ctrl"
"Gbp4",10531987,1.68617673373672,0.000986083439361594,"cDC1_LPS"
"Ccrl2",10597279,0.837206370471797,0.000986083439361594,"cDC1_LPS"
"Rnd3",10482500,-1.02230562871691,0.000986083439361594,"cDC1_ctrl"
"Tlr12",10516518,-1.09825852150981,0.000986083439361594,"cDC1_ctrl"
"Cyb5r1",10350003,-0.722715170226365,0.000986083439361594,"cDC1_ctrl"
"LOC102639543",10360367,1.20937405681199,0.000986083439361594,"cDC1_LPS"
"Plp2",10473022,-0.827401362730951,0.000986083439361594,"cDC1_ctrl"
"Mir342",10398286,-1.25545982126447,0.000986083439361594,"cDC1_ctrl"
"H2-DMa",10444229,-0.597023345510335,0.000986083439361594,"cDC1_ctrl"
"Aldoc",10379153,-1.00815788305811,0.000986083439361594,"cDC1_ctrl"
"Arg2",10396831,1.44755251117754,0.000986083439361594,"cDC1_LPS"
"Pgm2l1",10555303,-0.963437778433623,0.000986083439361594,"cDC1_ctrl"
"Zfp652",10380560,-0.930235443170082,0.000995028396005295,"cDC1_ctrl"
"Entpd1",10463070,-1.25576884542114,0.00101328144920915,"cDC1_ctrl"
"Mthfr",10510270,0.791013377905288,0.00101328144920915,"cDC1_LPS"
"Anxa1",10466606,-1.22048810851505,0.00103609664203174,"cDC1_ctrl"
"Cd1d1",10499160,1.52050147180283,0.0010405480581081,"cDC1_LPS"
"Nsmaf",10511382,-0.905151191639384,0.00105946540364235,"cDC1_ctrl"
"Mapk14",10443391,-0.75812678326292,0.00109340648724285,"cDC1_ctrl"
"Ramp1",10348537,-1.05771350474857,0.00109340648724285,"cDC1_ctrl"
"Cd200r1",10435907,-1.09406403206483,0.00109340648724285,"cDC1_ctrl"
"Tifab",10409567,-0.912419472570983,0.00109340648724285,"cDC1_ctrl"
"Adap1",10535065,0.931764476117872,0.00109340648724285,"cDC1_LPS"
"Rnf144b",10404965,-0.996887839299305,0.00109343688513251,"cDC1_ctrl"
"Adm",10556297,1.16054531578622,0.00109437236595536,"cDC1_LPS"
"Dusp4",10571312,1.01373074669963,0.00109437236595536,"cDC1_LPS"
"Ier3",10444890,1.04026954801477,0.00109437236595536,"cDC1_LPS"
"Irgm2///Igtp",10376326,0.809251274465481,0.00112426860095391,"cDC1_LPS"
"Slc46a3",10535841,-0.992376421513141,0.00113678099642695,"cDC1_ctrl"
"Aoah///Aoah",10403871,1.41209329243971,0.00113678099642695,"cDC1_LPS"
"Top2a",10390707,1.08781259930327,0.00113678099642695,"cDC1_LPS"
"Pik3r6",10377286,0.900180599743463,0.00113678099642695,"cDC1_LPS"
"Arsb",10406663,-1.29758112467425,0.00113678099642695,"cDC1_ctrl"
"Fah",10565315,1.07440148212152,0.0011382180086451,"cDC1_LPS"
"Slc15a3",10461558,0.966589246719373,0.0011382180086451,"cDC1_LPS"
"Ncoa5",10489620,0.813414100769844,0.00113865779479928,"cDC1_LPS"
"Plp2",10411359,-0.791526151603794,0.00113678099642695,"cDC1_ctrl"
"Stx17",10504849,-0.789261187763556,0.00114562020952707,"cDC1_ctrl"
"Alox5ap",10527638,-0.57589682464525,0.00113678099642695,"cDC1_ctrl"
"Ptpn7",10350102,-0.947685220482948,0.00114562020952707,"cDC1_ctrl"
"Lif",10373918,1.03118178712896,0.00114562020952707,"cDC1_LPS"
"Slc4a7",10412773,-0.931157681313248,0.00114562020952707,"cDC1_ctrl"
"Clu",10416057,1.3121245297901,0.00114562020952707,"cDC1_LPS"
"Hgfac",10521356,-0.92700523614666,0.00114562020952707,"cDC1_ctrl"
"Gm12250",10376324,1.15442765970744,0.00114562020952707,"cDC1_LPS"
"Map2k6",10382300,-0.812185464944839,0.00114562020952707,"cDC1_ctrl"
"Plp2",10603346,-0.779556943652262,0.00114562020952707,"cDC1_ctrl"
"Itga1",10412298,-0.911341345175876,0.00115589614511842,"cDC1_ctrl"
"Ly86",10404606,-1.161794993106,0.00117406821380024,"cDC1_ctrl"
"Ffar4",10462881,-0.742798317261139,0.00117517962506902,"cDC1_ctrl"
"Cdc14a",10501629,-0.87222613498702,0.0011789045917904,"cDC1_ctrl"
"Lpar5",10541799,-1.15488203885379,0.00118216420878579,"cDC1_ctrl"
"Il1rn",10469816,1.2662777792957,0.00118216420878579,"cDC1_LPS"
"Rhobtb2",10421214,-0.704150685196144,0.00119674171758702,"cDC1_ctrl"
"Plet1",10585186,1.49120728861811,0.00124336482828971,"cDC1_LPS"
"Rnf130",10375667,-0.718598911030346,0.00124336482828971,"cDC1_ctrl"
"Rasal3",10449893,-0.889193854719814,0.0013009688771598,"cDC1_ctrl"
"Olfr56///Ifi47",10375515,1.21680779512983,0.00131771237886208,"cDC1_LPS"
"Procr",10477717,1.34372638426538,0.00131771237886208,"cDC1_LPS"
"Fam102a",10471424,-0.730281829641601,0.00131771237886208,"cDC1_ctrl"
"Isg15///Gm9706",10451287,1.74840284506443,0.00131771237886208,"cDC1_LPS"
"Mlec",10532954,-1.01757322871564,0.00131771237886208,"cDC1_ctrl"
"Fabp5",10585699,0.944851780379718,0.00131771237886208,"cDC1_LPS"
"BC028528",10500276,-1.62758129293583,0.00131771237886208,"cDC1_ctrl"
"Cd14",10458382,1.84297041670204,0.00133671453547188,"cDC1_LPS"
"Acap1",10387699,-0.646549248053931,0.00133671453547188,"cDC1_ctrl"
"Acyp1",10401630,-1.40213298577619,0.00134703826783451,"cDC1_ctrl"
"Ppt1",10507784,-0.60671973375446,0.00131771237886208,"cDC1_ctrl"
"Dennd3",10424584,0.844304615562013,0.00134889219191422,"cDC1_LPS"
"Apobr",10557434,-0.790729920666877,0.00134889219191422,"cDC1_ctrl"
"Csrnp1",10597758,0.991924420977714,0.00134889219191422,"cDC1_LPS"
"Gjb2",10420362,1.69006040102279,0.0013510936603626,"cDC1_LPS"
"Plin2",10514221,-1.00858711540835,0.0013510936603626,"cDC1_ctrl"
"Itgb2",10364262,-0.989041051822861,0.00135881287940772,"cDC1_ctrl"
"Atp2a3",10378216,-0.85431252793228,0.0013639852037439,"cDC1_ctrl"
"Fam102b",10501456,-1.13949097503894,0.0013639852037439,"cDC1_ctrl"
"Cmtm7",10597461,-0.712871650773952,0.0013639852037439,"cDC1_ctrl"
"Nucb2",10556583,-0.982021931225567,0.0013639852037439,"cDC1_ctrl"
"Cpt1a",10460157,-0.935298419528939,0.0013639852037439,"cDC1_ctrl"
"Arhgap18",10362294,-1.06905373175191,0.0013639852037439,"cDC1_ctrl"
"Il6",10520452,2.32905210399475,0.0013639852037439,"cDC1_LPS"
"Fabp5",10490838,0.986539121329741,0.0013639852037439,"cDC1_LPS"
"",10357120,-0.619017859565277,0.0013639852037439,"cDC1_ctrl"
"Lrrk2",10426315,-0.77482909108496,0.0013639852037439,"cDC1_ctrl"
"Gch1",10419288,0.925122876706809,0.0013639852037439,"cDC1_LPS"
"Rcbtb2",10416355,-1.06217065600206,0.0013639852037439,"cDC1_ctrl"
"Trip6",10534718,-0.750766441665249,0.0013639852037439,"cDC1_ctrl"
"Itgb5",10435305,0.916908943551045,0.0013639852037439,"cDC1_LPS"
"Slc7a5",10582275,1.08951857672534,0.0013639852037439,"cDC1_LPS"
"Cd3eap",10560487,-0.746633561319622,0.0013639852037439,"cDC1_ctrl"
"Scimp",10387985,-1.23786630031233,0.0013639852037439,"cDC1_ctrl"
"Parp10",10429843,0.704035981055578,0.00137910503696295,"cDC1_LPS"
"Gm7334///Btg3",10445875,0.664709453539817,0.00138048803569233,"cDC1_LPS"
"Paqr4",10448350,-0.645587249501445,0.00138048803569233,"cDC1_ctrl"
"Rilpl2",10533844,1.36040277503693,0.00138048803569233,"cDC1_LPS"
"Irak3",10372781,1.1714622059817,0.0014043296072954,"cDC1_LPS"
"Rasgrp4",10551696,-1.16113655991966,0.00140192962131548,"cDC1_ctrl"
"P2rx7",10525419,-0.939682135924068,0.00140993135932523,"cDC1_ctrl"
"Ifngr1",10361897,-1.02154693794685,0.00138048803569233,"cDC1_ctrl"
"Gm7334///Btg3",10440419,0.655365431302044,0.00140993135932523,"cDC1_LPS"
"Cd37",10563178,-1.06809793569579,0.00140993135932523,"cDC1_ctrl"
"Pdlim2",10421258,-0.90569983545217,0.0014106273184672,"cDC1_ctrl"
"Rasgrp1",10486061,1.00873728010956,0.0014106273184672,"cDC1_LPS"
"AA467197",10475517,1.33889043725058,0.0014106273184672,"cDC1_LPS"
"Ist1",10581625,0.571546046407867,0.00140993135932523,"cDC1_LPS"
"Olfm1",10470529,-0.68922804302866,0.00141520289266103,"cDC1_ctrl"
"Chd7",10503218,0.827056298059772,0.00141520289266103,"cDC1_LPS"
"Lyz1",10372652,-1.00403071794339,0.00141520289266103,"cDC1_ctrl"
"Arhgap25",10546010,-1.04291585338604,0.00141520289266103,"cDC1_ctrl"
"B130006D01Rik",10380558,-0.79796654708159,0.00143102101552883,"cDC1_ctrl"
"Stard9",10475226,-0.938105040633102,0.00145260555347515,"cDC1_ctrl"
"Il1b",10487597,2.15555503577283,0.00143168093751229,"cDC1_LPS"
"Gpi1",10562360,-0.513137639035492,0.00141520289266103,"cDC1_ctrl"
"Hhex",10462818,-0.924539665959176,0.00146944615023482,"cDC1_ctrl"
"Qpct",10447056,-2.19171176219757,0.00146944615023482,"cDC1_ctrl"
"Plcb2",10486119,-0.913542424783078,0.00144943360272728,"cDC1_ctrl"
"Iqgap2",10411235,-1.42763889979332,0.00148207431994077,"cDC1_ctrl"
"Dgkz",10485081,-1.01593445087579,0.00148501974850083,"cDC1_ctrl"
"Rnf166",10582330,-0.704224940524101,0.00148501974850083,"cDC1_ctrl"
"Cysltr1",10606355,-1.22280208366171,0.00148501974850083,"cDC1_ctrl"
"Clic5",10445347,1.07430914636672,0.00148501974850083,"cDC1_LPS"
"Ifih1",10483110,1.0412629183974,0.00148501974850083,"cDC1_LPS"
"Tpcn1",10533145,-1.54073028431838,0.0014868172631174,"cDC1_ctrl"
"Dpy19l1",10591816,-0.801840376570944,0.0014868172631174,"cDC1_ctrl"
"Pde8a",10554521,0.766652743936801,0.00149513687352076,"cDC1_LPS"
"Fgd2",10443506,-0.633498068344458,0.0014868172631174,"cDC1_ctrl"
"Ccnd1",10569646,-0.593632409475946,0.00150853633897355,"cDC1_ctrl"
"Pold4",10460392,-0.926647141112312,0.00152997505298542,"cDC1_ctrl"
"Eif1ax",10602795,0.773182098876761,0.00152997505298542,"cDC1_LPS"
"Ddx58",10512067,2.19247873942629,0.00154417268199658,"cDC1_LPS"
"Tifa",10495967,-0.749333972954025,0.00155778060010884,"cDC1_ctrl"
"Atp6v0a1",10381187,0.822514390138636,0.00155778060010884,"cDC1_LPS"
"Muc1",10493474,0.699831394811641,0.00155778060010884,"cDC1_LPS"
"Cd48",10351658,-0.990596421341028,0.00155778060010884,"cDC1_ctrl"
"Tec",10530536,0.659138441703417,0.00161887419791988,"cDC1_LPS"
"Nfkbiz",10439936,1.50015003043433,0.00163789484141066,"cDC1_LPS"
"Kcnn4",10550877,-0.823458800352529,0.00166932649706237,"cDC1_ctrl"
"Agap2",10366825,-0.721591805683067,0.00166932649706237,"cDC1_ctrl"
"Dgat1",10429926,1.16178852993111,0.0016742004743317,"cDC1_LPS"
"Tagln2",10351825,0.695009935455404,0.00166724056720701,"cDC1_LPS"
"Kif11",10462796,0.954244117412116,0.0016742004743317,"cDC1_LPS"
"Yes1",10520965,0.875285873214373,0.0016742004743317,"cDC1_LPS"
"Slc8b1",10525086,-0.723967544627277,0.0016742004743317,"cDC1_ctrl"
"Ccnd2",10548105,2.13843170116144,0.0016742004743317,"cDC1_LPS"
"Stk11",10364683,0.618126474835529,0.0016742004743317,"cDC1_LPS"
"Mlec",10532944,-0.862690088956306,0.00168771814131129,"cDC1_ctrl"
"Rgs18",10358421,-1.94024572705274,0.00170160029764788,"cDC1_ctrl"
"2810417H13Rik",10586448,0.866821899226768,0.00170160029764788,"cDC1_LPS"
"Gpr31b",10447647,1.83468920247776,0.00170160029764788,"cDC1_LPS"
"Lamtor4",10526792,-0.748028829929712,0.00170160029764788,"cDC1_ctrl"
"Ppp3ca",10496338,-0.840413489873065,0.00170160029764788,"cDC1_ctrl"
"Cxcr5",10592888,0.779963474982372,0.00170160029764788,"cDC1_LPS"
"Stk10",10375083,-1.276206166169,0.00171540286034964,"cDC1_ctrl"
"Zfp398",10537911,-0.79066687509788,0.00172821733704649,"cDC1_ctrl"
"Kdm2b",10533569,0.903753410595451,0.00172821733704649,"cDC1_LPS"
"Ell2",10406254,0.975647963529804,0.00172918666128098,"cDC1_LPS"
"Nid1",10403584,0.83323209870623,0.00172918666128098,"cDC1_LPS"
"Ptpn18",10345370,-0.947371367945215,0.00177219443135277,"cDC1_ctrl"
"Adgra2",10571142,-1.06043321569565,0.00177219443135277,"cDC1_ctrl"
"",10410309,0.715257753833394,0.00177219443135277,"cDC1_LPS"
"Dennd1c",10452269,-0.707387558570876,0.00178612992002293,"cDC1_ctrl"
"Sdc4",10489484,1.37766041282438,0.00180047945276356,"cDC1_LPS"
"Disc1",10576538,-0.760592019293947,0.00180047945276356,"cDC1_ctrl"
"Cln8",10570472,-1.20766596259214,0.00180047945276356,"cDC1_ctrl"
"Gabbr1",10445078,-0.902744106131776,0.00180047945276356,"cDC1_ctrl"
"Cd180",10406928,-1.60738764741463,0.00180047945276356,"cDC1_ctrl"
"Cxxc5",10454851,-0.678476003669521,0.0018156550560784,"cDC1_ctrl"
"Prdm1",10368970,1.22775071399247,0.0018156550560784,"cDC1_LPS"
"Cxx1b///Cxx1a",10604633,-1.69867246145824,0.0018156550560784,"cDC1_ctrl"
